epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,169.379,1.43511,2.38875,1.48067,0.75083,0.60814,0.65051,0.4053,1.40907,1.04253,1.50609,0.00997797,0.00332599,0.00997797,0.00332599,0.00997797,0.00332599,0.00997797,0.00332599
2,273.794,1.41482,1.49929,1.40015,0.8395,0.54309,0.65481,0.39572,1.42757,1.05349,1.51783,0.0197802,0.0065934,0.0197802,0.0065934,0.0197802,0.0065934,0.0197802,0.0065934
3,368.074,1.46162,1.32496,1.42772,0.91119,0.61111,0.8655,0.50119,1.45853,1.01129,1.53893,0.0293844,0.0097948,0.0293844,0.0097948,0.0293844,0.0097948,0.0293844,0.0097948
4,482.711,1.47419,1.16173,1.42465,0.7576,0.75448,0.81025,0.47726,1.45567,0.85762,1.55144,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,573.45,1.43794,1.02588,1.39803,0.79482,0.88232,0.88488,0.52363,1.37367,0.74804,1.47636,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,702.73,1.38856,0.92099,1.35602,0.8647,0.66202,0.77472,0.5122,1.31528,0.84488,1.43017,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,796.982,1.36197,0.87791,1.3425,0.92707,0.8814,0.93772,0.61343,1.31667,0.65761,1.40647,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,886.788,1.3415,0.84501,1.33201,0.91755,0.84254,0.92713,0.59551,1.36667,0.7599,1.47036,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,976.934,1.31517,0.80744,1.31151,0.9509,0.90485,0.96029,0.63153,1.24267,0.57596,1.36706,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1144.48,1.29293,0.77252,1.29707,0.94018,0.89381,0.95414,0.6183,1.27963,0.59218,1.38169,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1235.68,1.2778,0.75951,1.28829,0.94201,0.89105,0.9558,0.63668,1.25261,0.56886,1.37315,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1325.98,1.25663,0.74286,1.27433,0.9271,0.94551,0.95842,0.63744,1.24041,0.56975,1.36649,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1416.57,1.23145,0.7097,1.26261,0.95436,0.90098,0.96706,0.6346,1.23643,0.54646,1.36886,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1506.61,1.21596,0.69314,1.24679,0.96014,0.92242,0.96244,0.65274,1.24663,0.53905,1.35893,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1596.86,1.20588,0.68368,1.24797,0.96484,0.87898,0.96953,0.65118,1.21534,0.54074,1.34651,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1686.78,1.19719,0.67137,1.23618,0.97815,0.90303,0.96305,0.66445,1.22837,0.54733,1.35023,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1777.48,1.17606,0.65957,1.22805,0.93134,0.93156,0.96445,0.65364,1.22128,0.5401,1.34009,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
